Date,Day,Temperature
01/01/2005,1,6.4
02/01/2005,2,1.3
03/01/2005,3,5.5
04/01/2005,4,6.5
05/01/2005,5,4.6
06/01/2005,6,4.2
07/01/2005,7,9.5
08/01/2005,8,2.7
09/01/2005,9,2.6
10/01/2005,10,7.9
11/01/2005,11,7.4
12/01/2005,12,1.9
13/01/2005,13,2.1
14/01/2005,14,0.5
15/01/2005,15,6.2
16/01/2005,16,8.3
17/01/2005,17,4.7
18/01/2005,18,-1.1
19/01/2005,19,1.7
20/01/2005,20,5.9
21/01/2005,21,2.8
22/01/2005,22,-3.2
23/01/2005,23,-2.2
24/01/2005,24,-0.9
25/01/2005,25,2
26/01/2005,26,4.7
27/01/2005,27,0.9
28/01/2005,28,2.7
29/01/2005,29,1.4
30/01/2005,30,4.6
31/01/2005,31,7.7
01/02/2005,32,8.1
02/02/2005,33,5
03/02/2005,34,6.8
04/02/2005,35,6.7
05/02/2005,36,1.8
06/02/2005,37,1.6
07/02/2005,38,2
08/02/2005,39,5.3
09/02/2005,40,6.1
10/02/2005,41,3.2
11/02/2005,42,1.3
12/02/2005,43,2.7
13/02/2005,44,0.5
14/02/2005,45,0.5
15/02/2005,46,-2.3
16/02/2005,47,-1
17/02/2005,48,1.9
18/02/2005,49,5.5
19/02/2005,50,0.2
20/02/2005,51,-1.7
21/02/2005,52,-0.4
22/02/2005,53,0
23/02/2005,54,-1.2
24/02/2005,55,-0.8
25/02/2005,56,2
26/02/2005,57,-2.2
27/02/2005,58,2
28/02/2005,59,2.3
01/03/2005,60,0.4
02/03/2005,61,-0.3
03/03/2005,62,-2.3
04/03/2005,63,2.5
05/03/2005,64,1
06/03/2005,65,-1
07/03/2005,66,0
08/03/2005,67,-2.2
09/03/2005,68,0.1
10/03/2005,69,0.3
11/03/2005,70,4
12/03/2005,71,1.8
13/03/2005,72,-1.6
14/03/2005,73,-0.9
15/03/2005,74,1.7
16/03/2005,75,10.2
17/03/2005,76,9.3
18/03/2005,77,10.2
19/03/2005,78,8.9
20/03/2005,79,3.5
21/03/2005,80,6.8
22/03/2005,81,7.5
23/03/2005,82,8.5
24/03/2005,83,9.4
25/03/2005,84,8.8
26/03/2005,85,5.2
27/03/2005,86,6.6
28/03/2005,87,6.1
29/03/2005,88,5.7
30/03/2005,89,6
31/03/2005,90,5.8
01/04/2005,91,7.7
02/04/2005,92,7.6
03/04/2005,93,6.3
04/04/2005,94,2.2
05/04/2005,95,3.6
06/04/2005,96,5.9
07/04/2005,97,1.6
08/04/2005,98,-0.3
09/04/2005,99,2.1
10/04/2005,100,6.1
11/04/2005,101,5.9
12/04/2005,102,5.2
13/04/2005,103,2
14/04/2005,104,2.7
15/04/2005,105,3.1
16/04/2005,106,1.4
17/04/2005,107,4.7
18/04/2005,108,7.1
19/04/2005,109,3.8
20/04/2005,110,5
21/04/2005,111,0.3
22/04/2005,112,5.7
23/04/2005,113,3.9
24/04/2005,114,2.6
25/04/2005,115,3.1
26/04/2005,116,5.3
27/04/2005,117,6.3
28/04/2005,118,6.1
29/04/2005,119,8
30/04/2005,120,5.1
01/05/2005,121,9.8
02/05/2005,122,9
03/05/2005,123,9.9
04/05/2005,124,4
05/05/2005,125,8.7
06/05/2005,126,6.4
07/05/2005,127,5.5
08/05/2005,128,4.6
09/05/2005,129,2.1
10/05/2005,130,-0.3
11/05/2005,131,1.9
12/05/2005,132,2.3
13/05/2005,133,2.4
14/05/2005,134,2.3
15/05/2005,135,7.7
16/05/2005,136,7.7
17/05/2005,137,0.1
18/05/2005,138,1.2
19/05/2005,139,6.4
20/05/2005,140,10.8
21/05/2005,141,6
22/05/2005,142,4.8
23/05/2005,143,6.6
24/05/2005,144,5.7
25/05/2005,145,9.7
26/05/2005,146,9.3
27/05/2005,147,6.7
28/05/2005,148,7.5
29/05/2005,149,7.6
30/05/2005,150,3.2
31/05/2005,151,3.8
01/06/2005,152,7.6
02/06/2005,153,9.9
03/06/2005,154,10.6
04/06/2005,155,8.2
05/06/2005,156,9.6
06/06/2005,157,8.4
07/06/2005,158,5.7
08/06/2005,159,11.5
09/06/2005,160,13.5
10/06/2005,161,7.5
